Time, Background Direction, Background Speed, SVH: From30, SVH: Current, Pupil Size
0,Clockwise,10,30,25.94484,3.253876
0,Clockwise,10,30,25.94484,3.306564
0,Clockwise,10,30,25.94484,3.225037
0,Clockwise,10,30,25.94484,3.265472
0,Clockwise,10,30,25.94484,3.226959
0,Clockwise,10,30,25.94484,3.233643
0,Clockwise,10,30,25.94484,3.256325
0,Clockwise,10,30,25.94484,3.263725
0,Clockwise,10,30,25.94484,3.258194
0,Clockwise,10,30,25.94484,3.256821
0,Clockwise,10,30,25.94484,3.280807
0,Clockwise,10,30,25.94484,3.271393
0,Clockwise,10,30,25.94484,3.311745
0,Clockwise,10,30,25.94484,3.177902
0,Clockwise,10,30,25.94484,3.189857
0,Clockwise,10,30,25.94484,3.234238
0,Clockwise,10,30,25.94484,3.224953
0,Clockwise,10,30,25.94484,3.257988
0,Clockwise,10,30,25.94484,3.214523
0,Clockwise,10,30,25.94484,3.360649
0,Clockwise,10,30,25.94484,3.36631
0,Clockwise,10,30,25.94484,3.292679
0,Clockwise,10,30,25.94484,3.219131
0,Clockwise,10,30,25.94484,3.363617
0,Clockwise,10,30,25.94484,3.336548
0,Clockwise,10,30,25.94484,3.474304
0,Clockwise,10,30,25.94484,3.485428
0,Clockwise,10,30,25.94484,3.435387
0,Clockwise,10,30,25.94484,3.31414
0,Clockwise,10,30,25.94484,3.302742
0,Clockwise,10,30,25.94484,3.277008
0,Clockwise,10,30,25.94484,3.383133
0,Clockwise,10,30,25.94484,3.309181
0,Clockwise,10,30,25.94484,3.347504
0,Clockwise,10,30,25.94484,3.366043
0,Clockwise,10,30,25.94484,3.333199
0,Clockwise,10,30,25.94484,3.312675
0,Clockwise,10,30,25.94484,3.190804
0,Clockwise,10,30,25.94484,3.302818
0,Clockwise,10,30,25.94484,3.266891
0,Clockwise,10,30,25.94484,3.251961
0,Clockwise,10,30,25.94484,3.27401
0,Clockwise,10,30,25.94484,3.126663
0,Clockwise,10,30,25.94484,3.257736
0,Clockwise,10,30,25.94484,3.342346
0,Clockwise,10,30,25.94484,3.265846
0,Clockwise,10,30,25.94484,3.284187
0,Clockwise,10,30,25.94484,3.23201
0,Clockwise,10,30,25.94484,3.17791
0,Clockwise,10,30,25.94484,3.140038
0,Clockwise,10,30,25.94484,3.188416
0,Clockwise,10,30,25.94484,3.21772
0,Clockwise,10,30,25.94484,3.205986
0,Clockwise,10,30,25.94484,3.202637
0,Clockwise,10,30,25.94484,3.197273
0,Clockwise,10,30,25.94484,3.13842
0,Clockwise,10,30,25.94484,3.156494
0,Clockwise,10,30,25.94484,3.146515
0,Clockwise,10,30,25.94484,3.137054
0,Clockwise,10,30,25.94484,3.091286
0,Clockwise,10,30,25.94484,3.150299
0,Clockwise,10,30,25.94484,3.185173
0,Clockwise,10,30,25.94484,2.896492
0,Clockwise,10,30,25.94484,1.069786
0,Clockwise,10,30,25.94484,0
0,Clockwise,10,30,25.94484,0
0,Clockwise,10,30,25.94484,0
0,Clockwise,10,30,25.94484,0
0,Clockwise,10,30,25.94484,0
0,Clockwise,10,30,25.94484,0
0,Clockwise,10,30,25.94484,0
0,Clockwise,10,30,25.94484,1.481575
0,Clockwise,10,30,25.94484,1.366768
0,Clockwise,10,30,25.94484,1.482704
0,Clockwise,10,30,25.94484,2.910477
0,Clockwise,10,30,25.94484,2.795563
0,Clockwise,10,30,25.94484,2.888191
0,Clockwise,10,30,25.94484,2.90097
0,Clockwise,10,30,25.94484,3.155502
0,Clockwise,10,30,25.94484,2.908958
0,Clockwise,10,30,25.94484,3.089066
0,Clockwise,10,30,25.94484,2.989296
0,Clockwise,10,30,25.94484,3.053185
0,Clockwise,10,30,25.94484,3.057571
0,Clockwise,10,30,25.94484,3.023804
0,Clockwise,10,30,25.94484,3.095253
0,Clockwise,10,30,25.94484,3.125381
0,Clockwise,10,30,25.94484,3.165779
0,Clockwise,10,30,25.94484,3.185722
0,Clockwise,10,30,25.94484,3.104416
0,Clockwise,10,30,25.94484,3.10717
0,Clockwise,10,30,25.94484,3.099602
0,Clockwise,10,30,25.94484,3.111557
0,Clockwise,10,30,25.94484,3.11264
0,Clockwise,10,30,25.94484,3.119598
0,Clockwise,10,30,25.94484,3.103645
0,Clockwise,10,30,25.94484,3.109344
0,Clockwise,10,30,25.94484,3.180283
0,Clockwise,10,30,25.94484,3.162811
0,Clockwise,10,30,25.94484,3.130562
0,Clockwise,10,30,25.94484,3.132545
0,Clockwise,10,30,25.94484,3.073853
0,Clockwise,10,30,25.86572,3.139374
0,Clockwise,10,30,25.80891,3.158623
0,Clockwise,10,30,25.76484,3.103592
0,Clockwise,10,30,25.72689,3.10849
0,Clockwise,10,30,25.66974,3.175232
0,Clockwise,10,30,25.61382,3.151138
0,Clockwise,10,30,25.56132,3.192909
0,Clockwise,10,30,25.5058,3.119698
0,Clockwise,10,30,25.44883,3.172333
0,Clockwise,10,30,25.39394,3.128235
0,Clockwise,10,30,25.33913,3.117561
0,Clockwise,10,30,25.28154,3.218613
0,Clockwise,10,30,25.22882,3.145126
0,Clockwise,10,30,25.17189,3.18425
0,Clockwise,10,30,25.11566,3.045364
0,Clockwise,10,30,25.05375,3.11554
0,Clockwise,10,30,25.00284,3.182518
0,Clockwise,10,30,24.9469,3.179375
0,Clockwise,10,30,24.89557,3.179955
0,Clockwise,10,30,24.83876,3.116051
0,Clockwise,10,30,24.78071,3.224266
0,Clockwise,10,30,24.72635,3.215523
0,Clockwise,10,30,24.67006,3.202301
0,Clockwise,10,30,24.61228,3.193275
0,Clockwise,10,30,24.55992,3.19091
0,Clockwise,10,30,24.50302,3.200844
0,Clockwise,10,30,24.4474,3.19223
0,Clockwise,10,30,24.39322,3.293236
0,Clockwise,10,30,24.33513,3.265633
0,Clockwise,10,30,24.27898,3.254272
0,Clockwise,10,30,24.22563,3.262611
0,Clockwise,10,30,24.16886,3.243332
0,Clockwise,10,30,24.11359,3.24337
0,Clockwise,10,30,24.05423,3.213745
0,Clockwise,10,30,24.00336,3.179527
0,Clockwise,10,30,23.94579,3.160881
0,Clockwise,10,30,23.88955,3.193344
0,Clockwise,10,30,23.8305,3.190697
0,Clockwise,10,30,23.77557,3.214737
0,Clockwise,10,30,23.71999,3.235756
0,Clockwise,10,30,23.66472,3.224365
0,Clockwise,10,30,23.60664,3.229744
0,Clockwise,10,30,23.55126,3.231941
0,Clockwise,10,30,23.49359,3.228645
0,Clockwise,10,30,23.41101,3.249947
0,Clockwise,10,30,23.37118,3.300003
0,Clockwise,10,30,23.32116,3.156265
0,Clockwise,10,30,23.23975,3.258095
0,Clockwise,10,30,23.20109,3.114914
0,Clockwise,10,30,23.15472,3.209938
0,Clockwise,10,30,23.07153,3.14827
0,Clockwise,10,30,23.02354,3.199242
0,Clockwise,10,30,22.98012,3.181084
0,Clockwise,10,30,22.90962,3.242798
