Time, Background Direction, Background Speed, SVV: From30, SVV: Current, Pupil Size
0,Clockwise,10,30,26.46108,4.480186
0,Clockwise,10,30,26.50919,4.48024
0,Clockwise,10,30,26.55735,4.650757
0,Clockwise,10,30,26.63217,4.272659
0,Clockwise,10,30,26.67969,4.086609
0,Clockwise,10,30,26.72882,4.239906
0,Clockwise,10,30,26.82017,4.377113
0,Clockwise,10,30,26.87494,4.360138
0,Clockwise,10,30,26.92334,4.340538
0,Clockwise,10,30,27.04857,4.657219
0,Clockwise,10,30,27.13672,4.71804
0,Clockwise,10,30,27.25223,4.666832
0,Clockwise,10,30,27.33345,4.603951
0,Clockwise,10,30,27.38569,4.623451
0,Clockwise,10,30,27.47574,4.655663
0,Clockwise,10,30,27.53347,4.688148
0,Clockwise,10,30,27.61825,4.761024
0,Clockwise,10,30,27.66919,4.668434
0,Clockwise,10,30,27.71669,4.76947
0,Clockwise,10,30,27.80065,4.790436
0,Clockwise,10,30,27.85523,4.789993
0,Clockwise,10,30,27.95282,4.762222
0,Clockwise,10,30,28.07255,4.752396
0,Clockwise,10,30,28.16286,4.748497
0,Clockwise,10,30,28.21611,4.743484
0,Clockwise,10,30,28.30277,4.687569
0,Clockwise,10,30,28.35775,4.76329
0,Clockwise,10,30,28.44755,4.755234
0,Clockwise,10,30,28.49911,4.674232
0,Clockwise,10,30,28.5538,4.724266
0,Clockwise,10,30,28.6411,4.488297
0,Clockwise,10,30,28.69305,4.540596
0,Clockwise,10,30,28.77957,4.659416
0,Clockwise,10,30,29.03939,0
0,Clockwise,10,30,29.15921,0
0,Clockwise,10,30,29.21227,0
0,Clockwise,10,30,29.29641,0
0,Clockwise,10,30,29.3467,0
0,Clockwise,10,30,29.43296,0
0,Clockwise,10,30,29.48307,0
0,Clockwise,10,30,29.61142,1.613014
0,Clockwise,10,30,29.72469,4.126068
0,Clockwise,10,30,29.83237,4.130959
0,Clockwise,10,30,29.94194,4.600243
0,Clockwise,10,30,30.02272,4.265564
0,Clockwise,10,30,30.16323,4.487244
0,Clockwise,10,30,30.27752,4.463333
0,Clockwise,10,30,30.35986,4.472275
0,Clockwise,10,30,30.50689,1.940987
0,Clockwise,10,30,30.66343,4.46347
0,Clockwise,10,30,30.75301,4.568176
0,Clockwise,10,30,30.80302,4.597458
0,Clockwise,10,30,30.94411,4.4244
0,Clockwise,10,30,31.02582,4.515495
0,Clockwise,10,30,31.1695,4.410469
0,Clockwise,10,30,31.28837,4.464767
0,Clockwise,10,30,31.4402,4.438965
0,Clockwise,10,30,31.49536,4.454887
0,Clockwise,10,30,31.62355,4.450653
0,Clockwise,10,30,31.69165,4.445984
0,Clockwise,10,30,32.24481,4.487053
0,Clockwise,10,30,32.68673,4.645905
0,Clockwise,10,30,32.8128,4.642731
0,Clockwise,10,30,32.92931,4.637932
0,Clockwise,10,30,32.9925,4.639359
0,Clockwise,10,30,33.14277,4.608315
0,Clockwise,10,30,33.25266,4.592354
0,Clockwise,10,30,33.30415,4.578743
0,Clockwise,10,30,33.38922,4.584923
0,Clockwise,10,30,33.44911,4.583893
0,Clockwise,10,30,33.49767,4.604416
0,Clockwise,10,30,33.5775,4.642883
0,Clockwise,10,30,33.62947,4.630066
0,Clockwise,10,30,33.72559,4.591484
0,Clockwise,10,30,33.78672,4.624115
0,Clockwise,10,30,33.92353,4.634277
0,Clockwise,10,30,33.97758,4.686966
0,Clockwise,10,30,34.06343,4.674934
0,Clockwise,10,30,34.11521,4.688255
0,Clockwise,10,30,34.16964,4.694572
0,Clockwise,10,30,34.25179,4.654991
0,Clockwise,10,30,34.3001,4.666878
0,Clockwise,10,30,34.3853,4.504112
0,Clockwise,10,30,34.43152,4.296776
0,Clockwise,10,30,34.47689,4.356621
0,Clockwise,10,30,34.55392,4.196587
0,Clockwise,10,30,34.66302,4.333786
0,Clockwise,10,30,34.74616,4.345917
0,Clockwise,10,30,34.79861,4.399696
